,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,SeniorCitizen,tenure,MonthlyCharges,Churn
16,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,46.0,0.0,52.0,20.65,0
17,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,5704.0,0.0,71.0,106.7,0
18,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4416.0,0.0,10.0,55.2,1
19,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1433.0,0.0,21.0,90.05,0
20,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,3340.0,1.0,1.0,39.65,1
21,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1651.0,0.0,12.0,19.8,0
22,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1609.0,0.0,1.0,20.15,1
23,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,3041.0,0.0,58.0,59.9,0
24,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2567.0,0.0,49.0,59.6,0
25,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,959.0,0.0,30.0,55.3,0
26,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,4019.0,0.0,47.0,99.35,1
27,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2592.0,0.0,1.0,30.2,1
28,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5135.0,0.0,72.0,90.25,0
29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,184.0,0.0,17.0,64.7,1
30,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,5354.0,1.0,71.0,96.35,0
31,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1360.0,1.0,2.0,95.5,0
32,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1449.0,0.0,27.0,66.15,0
33,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1610.0,0.0,1.0,20.2,0
34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3815.0,1.0,1.0,45.25,0
35,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,5644.0,0.0,72.0,99.9,0
36,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2742.0,0.0,5.0,69.7,1
37,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3073.0,0.0,46.0,74.8,0
38,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,3074.0,0.0,34.0,106.35,1
39,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,202.0,0.0,11.0,97.85,1
40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4024.0,0.0,10.0,49.55,0
41,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,4118.0,0.0,70.0,69.2,0
42,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3572.0,0.0,17.0,20.75,0
43,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,4105.0,0.0,63.0,79.85,0
44,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,6503.0,0.0,13.0,76.2,0
45,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3348.0,0.0,49.0,84.5,0
46,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6481.0,0.0,2.0,49.25,0
47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,809.0,0.0,2.0,80.65,1
48,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3599.0,0.0,52.0,79.75,0
49,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3625.0,0.0,69.0,64.15,0
50,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3285.0,1.0,43.0,90.25,0
51,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,789.0,0.0,15.0,99.1,1
52,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1275.0,1.0,25.0,69.5,0
53,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5113.0,1.0,8.0,80.65,1
54,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3782.0,1.0,60.0,74.85,0
55,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1274.0,1.0,18.0,95.45,1
56,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,5104.0,0.0,63.0,99.65,0
57,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5555.0,1.0,66.0,108.45,0
58,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,6314.0,0.0,34.0,24.95,0
59,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5937.0,0.0,72.0,107.5,0
60,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,3985.0,0.0,47.0,100.5,0
61,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4530.0,0.0,60.0,89.9,0
62,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2558.0,0.0,72.0,42.1,0
63,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,6459.0,0.0,18.0,54.4,0
64,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6234.0,0.0,9.0,94.4,1
65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2086.0,0.0,3.0,75.3,0
66,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3157.0,0.0,47.0,78.9,0
67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2143.0,0.0,31.0,79.2,0
68,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,6399.0,0.0,50.0,20.15,0
69,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,6290.0,0.0,10.0,79.85,0
70,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4137.0,0.0,1.0,49.05,0
71,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,181.0,0.0,52.0,20.4,0
72,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,5563.0,1.0,64.0,111.6,0
73,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,785.0,0.0,62.0,24.25,0
74,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1295.0,0.0,3.0,64.5,0
75,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,5009.0,1.0,56.0,110.5,0
76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2339.0,0.0,46.0,55.65,0
77,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4071.0,0.0,8.0,54.65,0
78,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1742.0,1.0,30.0,74.75,0
79,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,397.0,0.0,45.0,25.9,0
80,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,5966.0,0.0,1.0,79.35,1
81,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4676.0,0.0,11.0,50.55,0
82,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4199.0,0.0,7.0,75.15,1
83,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,3682.0,0.0,42.0,103.8,0
84,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,6491.0,0.0,49.0,20.15,0
85,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,6364.0,0.0,9.0,99.3,0
86,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1852.0,0.0,35.0,62.15,0
87,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,108.0,0.0,48.0,20.65,0
88,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6382.0,0.0,46.0,19.95,0
89,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,19.0,0.0,29.0,33.75,0
90,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.0,0.0,30.0,82.05,0
91,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5723.0,1.0,1.0,74.7,0
92,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4717.0,0.0,66.0,84.0,0
93,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,5575.0,0.0,65.0,111.05,0
94,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,5751.0,0.0,72.0,100.9,0
95,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6384.0,0.0,12.0,78.95,1
96,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,4018.0,0.0,71.0,66.85,0
97,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,252.0,0.0,5.0,21.05,1
98,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,203.0,0.0,52.0,21.0,0
99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2175.0,1.0,25.0,98.5,1
100,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1610.0,0.0,1.0,20.2,0
101,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1483.0,0.0,1.0,19.45,0
102,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,3122.0,0.0,38.0,95.0,0
103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2630.0,1.0,66.0,45.55,0
104,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,5833.0,0.0,68.0,110.0,1
105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,24.3,0
106,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5672.0,0.0,72.0,104.15,0
107,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6385.0,0.0,32.0,30.15,0
108,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3358.0,0.0,43.0,94.35,0
109,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,658.0,0.0,72.0,19.4,0
110,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,4391.0,0.0,55.0,96.75,1
111,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2642.0,0.0,52.0,57.95,0
112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,3380.0,0.0,43.0,91.65,0
113,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2475.0,1.0,37.0,76.5,1
114,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2967.0,0.0,64.0,54.6,0
115,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2128.0,0.0,3.0,89.85,0
116,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,240.0,0.0,36.0,31.05,0
117,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,124.0,0.0,10.0,100.25,1
118,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,6160.0,0.0,41.0,20.65,0
119,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1769.0,0.0,27.0,85.2,0
120,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,4581.0,0.0,56.0,99.8,0
121,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,230.0,0.0,6.0,20.7,0
122,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1931.0,0.0,3.0,74.4,1
123,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3039.0,0.0,7.0,50.7,0
124,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5043.0,0.0,4.0,20.85,0
125,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2632.0,0.0,33.0,88.95,0
126,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1755.0,1.0,27.0,78.05,1
127,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1228.0,0.0,72.0,23.55,0
128,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1489.0,0.0,1.0,19.75,0
129,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3403.0,1.0,71.0,56.45,0
130,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,394.0,0.0,13.0,85.95,0
131,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,912.0,0.0,25.0,58.6,1
132,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2837.0,0.0,67.0,50.55,0
133,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3032.0,0.0,1.0,35.45,1
134,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6058.0,0.0,2.0,44.35,1
135,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,348.0,0.0,43.0,25.7,0
136,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1304.0,0.0,23.0,75.0,0
137,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,510.0,0.0,64.0,20.2,0
138,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,319.0,0.0,57.0,19.6,0
139,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5510.0,1.0,1.0,70.45,1
140,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5173.0,1.0,72.0,88.05,0
141,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4664.0,0.0,8.0,71.15,1
142,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4894.0,0.0,61.0,101.05,0
143,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4419.0,0.0,64.0,84.3,0
144,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1278.0,1.0,71.0,23.95,0
145,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,5168.0,0.0,65.0,99.05,0
146,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4983.0,0.0,3.0,19.6,0
147,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3821.0,0.0,1.0,45.65,1
148,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1528.0,0.0,30.0,64.5,0
149,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,141.0,0.0,15.0,69.5,0
150,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,4669.0,0.0,8.0,68.55,0
151,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,5236.0,0.0,7.0,95.0,1
152,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,5988.0,0.0,70.0,108.15,0
153,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4370.0,0.0,62.0,86.1,0
154,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,250.0,0.0,6.0,19.7,0
155,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,290.0,0.0,14.0,80.9,0
156,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1378.0,0.0,22.0,84.15,0
157,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3583.0,0.0,22.0,20.15,0
158,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,51.0,0.0,16.0,64.25,0
159,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2166.0,0.0,10.0,25.7,0
160,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5845.0,0.0,13.0,56.0,0
161,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1047.0,0.0,20.0,82.4,1
162,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,639.0,0.0,2.0,69.7,0
163,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3383.0,0.0,53.0,73.9,0
164,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1966.0,0.0,11.0,20.6,0
165,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,659.0,0.0,69.0,19.9,0
166,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2373.0,0.0,4.0,70.9,1
167,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,5071.0,0.0,72.0,89.05,0
168,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2300.0,1.0,58.0,45.3,1
